Sl no,District,Taluk ,Place of Hospitals,Rural/Urban,Syetem of Facility,Types ,Bed Strength
99,Shivamogga ,Shivamogga ,GAMC Shimoga Teaching Hospital,Urban,Ayurveda,Govt. Ayurveda Medical college and Hospital.,100
100,Tumkur,Tumkur,Tumkur  DAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,15
101,Tumkur,Gubbi,Manchaladore,Rural,Ayurveda,Govt. Ayurveda Hosp.,5
102,Tumkur,Tiptur,Tiptur,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
103,Tumkur,Chikkanayakanahalli,Chikkanayakanahalli,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
104,Tumkur,Madhugiri,Madhugiri TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
105,Udupi,Udupi,Udupi DAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
106,Udupi,Kundapur,Kundapura TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
107,Udupi,karkala,Karkala TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
108,Uttara Kannada,Karwar,Karwar DAH  ,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
109,Uttara Kannada,Sirsi,Sirsi,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
110,Uttara Kannada,Kumta,Kumta,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
111,Uttara Kannada,Mundagod,Mundagod,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
112,Uttara Kannada,Haliyal,Dandeli Ambewadi CU Ayurveda,Urban,Ayurveda,Govt. Ayurveda Hosp.,5
113,Vijayapura,Vijayapura,Bijapura  DAH  ZP,Urban,Ayurveda,Govt. Ayurveda Hosp.,50
114,Vijayapura,Muddebihal,Muddebihal  TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
115,Vijayapura,Sindagi,Sindagi TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
116,Yadgir,Shahapur,Shahapur TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
117,Yadgir,Yadgir,Yadgir ,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
